BM,VM,BH,AS,DC,EN,AP,LN,GS,ME,GC,LH,PE,PS,MD1,LC,EE,AF,LB,MD2,CP,UT,R,US
2,2,0,39,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
7,24,0,25,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0
16,37,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0
21,61,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,8,0,0
22,80,5,15,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,6,0,0
35,48,2,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,6,9,0,0
69,30,6,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,8,0,0
71,25,2,18,0,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,15,7,0,0
77,33,3,11,0,0,0,0,8,0,0,0,3,0,2,0,0,2,0,1,30,8,0,0
128,31,11,11,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,0,22,7,0,0
74,25,6,17,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,39,9,0,0
10,8,14,43,0,2,0,0,13,0,0,0,8,0,3,0,0,0,0,21,56,15,0,0
5,4,3,20,0,0,0,1,6,2,0,0,25,0,5,0,0,0,0,21,60,8,0,0
12,16,24,16,0,0,0,0,7,3,0,0,132,0,6,0,0,0,0,30,38,13,0,0
3,11,26,29,0,1,0,0,12,1,0,0,141,0,5,0,0,0,0,23,35,16,0,0
0,0,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
0,0,0,29,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0
7,16,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
14,42,0,30,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0
17,92,2,29,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,7,7,0,0
21,128,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0
40,120,2,17,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,8,0,0
60,62,12,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,6,0,0
